op_id,op_type,dtype,value_range_in_bits,saturation,per,order
0,icraft::xir::InputNode,fp32,32;32,kld;kld,channel;tensor,-
1,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
2,icraft::xir::ReshapeNode,int8,8;8,kld;kld,channel;tensor,-
5,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
6,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
7,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
8,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
9,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
10,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
11,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
12,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
13,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
14,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
15,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
16,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
17,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
18,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
19,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
20,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
21,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
22,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
23,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
24,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
25,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
26,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
29,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
30,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
32,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
34,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
35,icraft::xir::SigmoidNode,int8,8;8,kld;kld,channel;tensor,2
36,icraft::xir::OutputNode,fp32,32;32,kld;kld,channel;tensor,-
