op_id,op_type,dtype,value_range_in_bits,saturation,per,order
0,icraft::xir::InputNode,fp32,32;32,kld;kld,channel;tensor,-
4,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
5,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
6,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
7,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
8,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
9,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
10,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
11,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
12,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
13,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
14,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
15,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
16,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
17,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
18,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
19,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
20,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
21,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
22,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
23,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
24,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
25,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
28,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
29,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
31,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
33,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
34,icraft::xir::SigmoidNode,int8,8;8,kld;kld,channel;tensor,2
35,icraft::xir::OutputNode,fp32,32;32,kld;kld,channel;tensor,-
36,icraft::xir::ReshapeNode,int8,8;8,kld;kld,channel;tensor,-
