ftmp_id,size,max,sat,normratio,scale,exp
0,126x256x704x3,255 255 255,254.96889 254.96889 254.96889,,0,0
12,126x128x352x64,4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166,2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334,,0,0
14,126x128x352x64,4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166,2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709 2.3401709,,0,0
16,126x64x176x64,4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166 4.1604166,2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334 2.6001334,,0,0
20,126x64x176x64,5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806 5.168806,3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175 3.5533175,,0,0
22,126x64x176x64,1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511 1.9744511,1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716 1.2339716,,0,0
26,126x64x176x64,3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886 3.8539886,2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408 2.6494408,,0,0
29,126x64x176x64,4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597,3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725 3.167725,,0,0
31,126x64x176x64,4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597 4.407597,3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365 3.5808365,,0,0
35,126x64x176x64,3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248 3.2437248,2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123 2.2299123,,0,0
