op_id,op_type,dtype,value_range_in_bits,saturation,per,order
0,icraft::xir::InputNode,fp32,32;32,kld;kld,channel;tensor,-
5,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
6,icraft::xir::MaxPool2dNode,int8,8;8,kld;kld,channel;tensor,-
8,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
10,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
11,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
13,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
15,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
16,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
18,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
21,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
22,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
24,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
26,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
27,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
29,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
32,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
33,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
35,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
37,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
38,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
40,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
43,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
44,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
46,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
48,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
49,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
54,icraft::xir::UpsampleNode,int8,8;8,kld;kld,channel;tensor,-
55,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
56,icraft::xir::UpsampleNode,int8,8;8,kld;kld,channel;tensor,-
57,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
58,icraft::xir::UpsampleNode,int8,8;8,kld;kld,channel;tensor,-
59,icraft::xir::AddNode,int8,8;8,kld;kld,channel;tensor,-
64,icraft::xir::UpsampleNode,int8,8;8,kld;kld,channel;tensor,-
65,icraft::xir::UpsampleNode,int8,8;8,kld;kld,channel;tensor,-
66,icraft::xir::UpsampleNode,int8,8;8,kld;kld,channel;tensor,-
67,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
71,icraft::xir::OutputNode,fp32,32;32,kld;kld,channel;tensor,-
74,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
75,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
76,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
77,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
78,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
79,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
80,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
81,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
82,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
83,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
84,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
85,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
86,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
87,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
88,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
89,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
90,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
91,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
92,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
93,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
94,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
95,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
96,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
97,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
98,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
99,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
100,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
101,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
102,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
103,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
104,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
105,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
106,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
107,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
108,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
109,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
110,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
111,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
112,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
113,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
114,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
115,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
116,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
117,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
118,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
119,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
120,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
121,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
122,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
123,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
124,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
125,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
126,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
127,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
128,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
129,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
130,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
131,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
132,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
133,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
134,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
135,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
136,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
137,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
138,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
139,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
140,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
141,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
142,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
143,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
144,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
145,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
146,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
147,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
148,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
149,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
150,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
151,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
152,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
153,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
154,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
155,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
156,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
157,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
158,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
159,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
