raw_id,size,max,sat,scale,exp
230,1x1x3x3,0.017124753 0.017507004 0.017429193,0.017122664 0.017504867 0.017427066,,
234,1x1x3x3,0.017124753 0.017507004 0.017429193,0.017122664 0.017504867 0.017427066,,
238,1x1x3x3,0.017124753 0.017507004 0.017429193,0.017122664 0.017504867 0.017427066,,
242,1x1x3x3,0.017124753 0.017507004 0.017429193,0.017122664 0.017504867 0.017427066,,
246,1x1x3x3,0.017124753 0.017507004 0.017429193,0.017122664 0.017504867 0.017427066,,
250,1x1x3x3,0.017124753 0.017507004 0.017429193,0.017122664 0.017504867 0.017427066,,
268,7x7x3x64,0.17941876 0.044500463 0 0.048556227 0 0.1136751 0.11658362 0 0.19843829 5.197836e-10 0.09312163 0.07622302 0.036474697 1.9559547e-08 0.021891752 0.19511242 0.03375652 0.013631076 0.07907592 0.021979429 0.05766044 0.010790876 0.032027833 0.19544837 0.39387545 0.03130431 0.02171864 0.033983506 0.07778122 0.10759951 0.13582975 0.06047244 0.035934765 0.08663322 0.048700433 0.036285497 0 0.037774436 0 0.36981946 0.28552818 0.14981999 0.14510995 0.079413325 0.10284542 0.037830915 0.016752034 0.21811299 0 0.15919185 0.30834106 0.1392751 0.06553612 0.26965028 0.011114773 0.20308617 0.053743225 0.02430428 0.061993048 0.15965736 0.12977785 0.009402235 0.035873894 0.12594284,0.17939685 0.04449503 0 0.048550304 0 0.11366123 0.1165694 0 0.19841407 5.197202e-10 0.09311026 0.076213725 0.036470246 1.955716e-08 0.02188908 0.19508861 0.0337524 0.013629412 0.07906626 0.021976747 0.057653405 0.010789559 0.032023925 0.19542453 0.39382738 0.031300493 0.02171599 0.033979356 0.07777173 0.10758638 0.13581316 0.06046506 0.03593038 0.08662265 0.048694488 0.03628107 0 0.037769824 0 0.3697743 0.28549334 0.1498017 0.14509223 0.07940363 0.102832876 0.037826296 0.016749991 0.21808636 0 0.15917242 0.30830345 0.13925812 0.06552812 0.26961738 0.011113416 0.20306137 0.053736668 0.024301313 0.06198548 0.15963788 0.12976201 0.009401088 0.035869516 0.12592746,,
272,7x7x3x64,0.17941876 0.044500463 0 0.048556227 0 0.1136751 0.11658362 0 0.19843829 5.197836e-10 0.09312163 0.07622302 0.036474697 1.9559547e-08 0.021891752 0.19511242 0.03375652 0.013631076 0.07907592 0.021979429 0.05766044 0.010790876 0.032027833 0.19544837 0.39387545 0.03130431 0.02171864 0.033983506 0.07778122 0.10759951 0.13582975 0.06047244 0.035934765 0.08663322 0.048700433 0.036285497 0 0.037774436 0 0.36981946 0.28552818 0.14981999 0.14510995 0.079413325 0.10284542 0.037830915 0.016752034 0.21811299 0 0.15919185 0.30834106 0.1392751 0.06553612 0.26965028 0.011114773 0.20308617 0.053743225 0.02430428 0.061993048 0.15965736 0.12977785 0.009402235 0.035873894 0.12594284,0.17939685 0.04449503 0 0.048550304 0 0.11366123 0.1165694 0 0.19841407 5.197202e-10 0.09311026 0.076213725 0.036470246 1.955716e-08 0.02188908 0.19508861 0.0337524 0.013629412 0.07906626 0.021976747 0.057653405 0.010789559 0.032023925 0.19542453 0.39382738 0.031300493 0.02171599 0.033979356 0.07777173 0.10758638 0.13581316 0.06046506 0.03593038 0.08662265 0.048694488 0.03628107 0 0.037769824 0 0.3697743 0.28549334 0.1498017 0.14509223 0.07940363 0.102832876 0.037826296 0.016749991 0.21808636 0 0.15917242 0.30830345 0.13925812 0.06552812 0.26961738 0.011113416 0.20306137 0.053736668 0.024301313 0.06198548 0.15963788 0.12976201 0.009401088 0.035869516 0.12592746,,
276,7x7x3x64,0.17941876 0.044500463 0 0.048556227 0 0.1136751 0.11658362 0 0.19843829 5.197836e-10 0.09312163 0.07622302 0.036474697 1.9559547e-08 0.021891752 0.19511242 0.03375652 0.013631076 0.07907592 0.021979429 0.05766044 0.010790876 0.032027833 0.19544837 0.39387545 0.03130431 0.02171864 0.033983506 0.07778122 0.10759951 0.13582975 0.06047244 0.035934765 0.08663322 0.048700433 0.036285497 0 0.037774436 0 0.36981946 0.28552818 0.14981999 0.14510995 0.079413325 0.10284542 0.037830915 0.016752034 0.21811299 0 0.15919185 0.30834106 0.1392751 0.06553612 0.26965028 0.011114773 0.20308617 0.053743225 0.02430428 0.061993048 0.15965736 0.12977785 0.009402235 0.035873894 0.12594284,0.17939685 0.04449503 0 0.048550304 0 0.11366123 0.1165694 0 0.19841407 5.197202e-10 0.09311026 0.076213725 0.036470246 1.955716e-08 0.02188908 0.19508861 0.0337524 0.013629412 0.07906626 0.021976747 0.057653405 0.010789559 0.032023925 0.19542453 0.39382738 0.031300493 0.02171599 0.033979356 0.07777173 0.10758638 0.13581316 0.06046506 0.03593038 0.08662265 0.048694488 0.03628107 0 0.037769824 0 0.3697743 0.28549334 0.1498017 0.14509223 0.07940363 0.102832876 0.037826296 0.016749991 0.21808636 0 0.15917242 0.30830345 0.13925812 0.06552812 0.26961738 0.011113416 0.20306137 0.053736668 0.024301313 0.06198548 0.15963788 0.12976201 0.009401088 0.035869516 0.12592746,,
280,7x7x3x64,0.17941876 0.044500463 0 0.048556227 0 0.1136751 0.11658362 0 0.19843829 5.197836e-10 0.09312163 0.07622302 0.036474697 1.9559547e-08 0.021891752 0.19511242 0.03375652 0.013631076 0.07907592 0.021979429 0.05766044 0.010790876 0.032027833 0.19544837 0.39387545 0.03130431 0.02171864 0.033983506 0.07778122 0.10759951 0.13582975 0.06047244 0.035934765 0.08663322 0.048700433 0.036285497 0 0.037774436 0 0.36981946 0.28552818 0.14981999 0.14510995 0.079413325 0.10284542 0.037830915 0.016752034 0.21811299 0 0.15919185 0.30834106 0.1392751 0.06553612 0.26965028 0.011114773 0.20308617 0.053743225 0.02430428 0.061993048 0.15965736 0.12977785 0.009402235 0.035873894 0.12594284,0.17939685 0.04449503 0 0.048550304 0 0.11366123 0.1165694 0 0.19841407 5.197202e-10 0.09311026 0.076213725 0.036470246 1.955716e-08 0.02188908 0.19508861 0.0337524 0.013629412 0.07906626 0.021976747 0.057653405 0.010789559 0.032023925 0.19542453 0.39382738 0.031300493 0.02171599 0.033979356 0.07777173 0.10758638 0.13581316 0.06046506 0.03593038 0.08662265 0.048694488 0.03628107 0 0.037769824 0 0.3697743 0.28549334 0.1498017 0.14509223 0.07940363 0.102832876 0.037826296 0.016749991 0.21808636 0 0.15917242 0.30830345 0.13925812 0.06552812 0.26961738 0.011113416 0.20306137 0.053736668 0.024301313 0.06198548 0.15963788 0.12976201 0.009401088 0.035869516 0.12592746,,
